"collection_date","pangolin_call","major_lineage"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.7","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.5","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.6","Delta"
2021-07-20,"AY.6","Delta"
2021-07-17,"AY.4.2","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.126","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.9","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-17,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4.5","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.6","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.9","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.9","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.9","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.120","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.98","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-18,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.5","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.120","Delta"
2021-07-23,"AY.98","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.6","Delta"
2021-07-23,"AY.111","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.9","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.7","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"B.1.617.2","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.5","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.120","Delta"
2021-07-23,"AY.6","Delta"
2021-07-23,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.87","Delta"
2021-07-23,"AY.9","Delta"
2021-07-23,"AY.7","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.7","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.122","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.98","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.6","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.122","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.6","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.122","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-21,"AY.9","Delta"
2021-07-21,"AY.4.2","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"B.1.617.2","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-17,"AY.4","Delta"
2021-07-17,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.120","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.87","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.98","Delta"
2021-07-17,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.6","Delta"
2021-07-18,"AY.5","Delta"
2021-07-18,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.98","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.98","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.3","Delta"
2021-07-21,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.98","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.98","Delta"
2021-07-17,"AY.7","Delta"
2021-07-21,"AY.98","Delta"
2021-07-17,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.120","Delta"
2021-07-18,"AY.5","Delta"
2021-07-20,"AY.6","Delta"
2021-07-21,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.6","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.98","Delta"
2021-07-19,"AY.120","Delta"
2021-07-17,"AY.122","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.7","Delta"
2021-07-21,"AY.6","Delta"
2021-07-21,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.120","Delta"
2021-07-18,"AY.5","Delta"
2021-07-17,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.6","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.98","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-18,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.6","Delta"
2021-07-21,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.6","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.6","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.6","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.9","Delta"
2021-07-19,"AY.6","Delta"
2021-07-20,"AY.120","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.46.5","Delta"
2021-07-21,"AY.120","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.6","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-21,"AY.6","Delta"
2021-07-20,"AY.46.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.7","Delta"
2021-07-19,"B.1.617.2","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"B.1.617.2","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.11","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-18,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-21,"AY.98","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-22,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.5","Delta"
2021-07-22,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-20,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"B.1.617.2","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-20,"AY.5","Delta"
2021-07-22,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-21,"AY.98","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.5","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.43","Delta"
2021-07-24,"AY.111","Delta"
2021-07-24,"AY.9","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.6","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.120","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.98","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.5","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.5","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-22,"AY.5","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.5","Delta"
2021-07-23,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.6","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.42","Delta"
2021-07-21,"AY.4","Delta"
2021-07-23,"AY.120","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"B.1.617.2","Delta"
2021-07-23,"AY.9","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.5","Delta"
2021-07-24,"AY.5","Delta"
2021-07-23,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-21,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.6","Delta"
2021-07-24,"AY.4.2","Delta"
2021-07-22,"AY.5","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.98","Delta"
2021-07-22,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-21,"AY.120","Delta"
2021-07-22,"AY.4","Delta"
2021-07-26,"B.1.630","Other"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.5","Delta"
2021-07-27,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-28,"AY.6","Delta"
2021-07-26,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-26,"AY.5","Delta"
2021-07-25,"AY.4.1","Delta"
2021-07-26,"AY.5","Delta"
2021-07-25,"AY.98","Delta"
2021-07-26,"AY.46","Delta"
2021-07-29,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.98","Delta"
2021-07-29,"AY.4","Delta"
2021-07-28,"AY.98","Delta"
2021-07-25,"AY.98","Delta"
2021-07-24,"AY.5","Delta"
2021-07-28,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-22,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-29,"AY.5","Delta"
2021-07-28,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-28,"AY.98","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-27,"AY.98","Delta"
2021-07-29,"AY.98","Delta"
2021-07-29,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-29,"AY.120","Delta"
2021-07-29,"AY.4","Delta"
2021-07-24,"AY.87","Delta"
2021-07-24,"AY.4","Delta"
2021-07-25,"AY.4.1","Delta"
2021-07-29,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-29,"AY.98","Delta"
2021-07-29,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-28,"AY.6","Delta"
2021-07-29,"AY.4","Delta"
2021-07-27,"AY.98.1","Delta"
2021-07-28,"AY.5","Delta"
2021-07-28,"AY.98","Delta"
2021-07-28,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-28,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-29,"B.1.617.2","Delta"
2021-07-28,"AY.4","Delta"
2021-07-29,"AY.5","Delta"
2021-07-29,"AY.4","Delta"
2021-07-27,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-29,"AY.4","Delta"
2021-07-28,"AY.6","Delta"
2021-07-29,"AY.98","Delta"
2021-07-23,"AY.5","Delta"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-24,"B.1.617.2","Delta"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.9.2","Delta"
2021-07-26,"AY.7","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-24,"AY.5","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.6","Delta"
2021-07-25,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.6","Delta"
2021-07-23,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-24,"AY.7","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.6","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.4.13","Delta"
2021-07-24,"AY.6","Delta"
2021-07-24,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-26,"AY.6","Delta"
2021-07-22,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-26,"AY.5","Delta"
2021-07-24,"AY.7","Delta"
2021-07-24,"AY.4","Delta"
2021-07-24,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.98","Delta"
2021-07-25,"AY.6","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-25,"AY.46.5","Delta"
2021-07-26,"AY.4","Delta"
2021-07-26,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-23,"AY.4","Delta"
2021-07-25,"AY.4","Delta"
2021-07-23,"AY.9","Delta"
